,sh1,p,C1,B1,Tem_1,DE1
2020-06-25,52.947916273333334,1.3546666666666567,1.9455486111111113,-0.6900520833333333,26.770475694444446,56.477999
2020-06-26,54.1156907,4.6566666666666405,1.9486875000000001,-0.6805069444444444,26.573069444444442,255.442882
2020-06-27,58.68847294666667,3.640666666666638,1.9497465277777775,-0.6815555555555556,26.475923611111114,40.974217
2020-06-28,60.95304658166666,10.413999999999929,1.9445243055555554,-0.6706944444444445,24.648722222222222,78.626204
2020-06-29,60.9486482275,0.507999999999996,1.971753472222222,-0.6910347222222222,26.487454861111114,0.0
2020-06-30,60.9887363,0.253999999999998,1.9736493055555557,-0.6921423611111112,27.1865,0.0
2020-07-01,61.25150952291666,0.0,1.969045138888889,-0.6865381944444445,26.032597222222222,0.0
2020-07-02,61.45970881583334,0.0,1.9665069444444443,-0.6978159722222222,26.20692361111111,0.0
2020-07-03,61.68985992583334,5.50333333333333,1.9413576388888887,-0.717363425925926,27.204379629629628,7.01361
2020-07-04,61.84624276541667,33.104666666666674,1.9198576388888888,-0.6898587962962964,24.872842592592594,45.773069
2020-07-05,61.860416666666666,4.910666666666669,1.9125763888888887,-0.6979409722222223,24.201552083333336,0.0
2020-07-06,61.774492187499995,1.608666666666669,1.908582175925926,-0.7118946759259259,25.438258101851854,0.0
2020-07-07,61.68384620916667,4.656666666666671,1.945870559334845,-0.7601695956160243,29.702961569349963,0.0
2020-07-08,61.68657609458333,10.752666666666673,1.9232625425170067,-0.7478003117913832,28.264558106575965,0.0
2020-07-09,61.79737004958334,3.471333333333337,1.9667465277777778,-0.7247673611111112,26.77984722222222,0.0
2020-07-10,61.7824016175,2.2860000000000014,1.9890902777777777,-0.7138645833333334,26.408541666666665,0.0
2020-07-11,61.81390841666666,15.24000000000001,1.9416770833333334,-0.7060486111111112,24.801263888888887,0.0
2020-07-12,61.811080004999994,1.7780000000000016,1.9251250000000002,-0.7031041666666668,25.50079861111111,0.0
2020-07-13,61.857511737500005,10.922000000000008,1.9171232638888889,-0.7268975694444445,26.889161458333334,0.0
2020-07-14,62.22485055458334,8.890000000000006,1.9428993055555555,-0.7145677083333334,26.172975694444446,0.0
2020-07-15,61.034060269166666,0.0,1.9301128472222222,-0.7075277777777779,25.350046875,0.0
2020-07-16,56.82952154416667,0.0,1.953611111111111,-0.7361875000000001,26.71655208333333,0.0
2020-07-17,56.458970376249994,0.0,1.9742152777777777,-0.7491319444444445,28.0499375,0.0
2020-07-18,54.42021411541666,0.0846666666666669,2.0064131944444443,-0.7411909722222223,28.600229166666665,0.0
2020-07-19,52.400166049166664,0.1693333333333338,2.027416666666667,-0.7361562500000001,29.009666666666664,0.0
